Trade_ID,Product_ID,Year_ID,TradeType_ID,Trade_Value,Share_Percentage,Growth_Rate,Absolute_Change,Trade_Balance,Created_At
33,33,1,1,1.5,0,31.85,0.48,,01-04-2023 00:00
34,34,1,1,3.11,0.0001,-94.8,-2.95,3.11,01-04-2023 00:00
35,35,1,1,0.21,0,0,-0.21,,01-04-2023 00:00
36,36,1,1,60.82,0.0017,32.12,19.53,60.73,01-04-2023 00:00
37,5337,1,1,60.82,0.0017,32.12,19.53,60.73,01-04-2023 00:00
38,37,1,1,0.33,0,-71.7,-0.24,,01-04-2023 00:00
39,38,1,1,21.84,0.0006,44.79,9.78,21.83,01-04-2023 00:00
40,39,1,1,0.01,0,0,-0.01,0.01,01-04-2023 00:00
41,40,1,1,0.02,0,0,-0.02,-0.94,01-04-2023 00:00
42,41,1,1,0.52,0,0,-0.52,,01-04-2023 00:00
43,42,1,1,0.01,0,0,-0.01,0.01,01-04-2023 00:00
44,43,1,1,0.01,0,0,-0.01,-0.7,01-04-2023 00:00
45,44,1,1,0.07,0,0,-0.07,,01-04-2023 00:00
46,45,1,1,2.52,0.0001,-22.46,-0.57,,01-04-2023 00:00
47,46,1,1,19.73,0.0005,-28.39,-5.6,12.31,01-04-2023 00:00
48,47,1,1,7.78,0.0002,-44.47,-3.46,1.41,01-04-2023 00:00
49,48,1,1,0,0,0,0,0,01-04-2023 00:00
50,5340,1,1,0,0,0,0,0,01-04-2023 00:00
51,49,1,1,0.02,0,695.43,0.14,,01-04-2023 00:00
52,50,1,1,0.2,0,-65.27,-0.13,-1.01,01-04-2023 00:00
53,51,1,1,0.29,0,-99.23,-0.29,0.18,01-04-2023 00:00
54,52,1,1,16.6,0.0005,-26.05,-4.32,16.59,01-04-2023 00:00
55,53,1,1,0.69,0,40.17,0.28,,01-04-2023 00:00
56,54,1,1,0.4,0,143.72,0.58,,01-04-2023 00:00
57,55,1,1,5.31,0.0001,-96.22,-5.11,,01-04-2023 00:00
58,56,1,1,0,0,45711.09,0.64,,01-04-2023 00:00
59,57,1,1,0,0,27.64,0,,01-04-2023 00:00
60,58,1,1,0,0,0,0,,01-04-2023 00:00
61,59,1,1,5.41,0.0001,34.84,1.89,5.41,01-04-2023 00:00
62,60,1,1,0.04,0,0,-0.04,,01-04-2023 00:00
63,61,1,1,7.21,0.0002,15.14,1.09,,01-04-2023 00:00
64,62,1,1,1.71,0,-18.83,-0.32,,01-04-2023 00:00
65,63,1,1,8.55,0.0002,-0.04,-0.01,,01-04-2023 00:00
66,64,1,1,0.09,0,-53.23,-0.05,,01-04-2023 00:00
67,65,1,1,5.96,0.0002,-47.46,-2.83,,01-04-2023 00:00
68,66,1,1,7.62,0.0002,48.26,3.68,,01-04-2023 00:00
69,67,1,1,0.4,0,0,-0.4,,01-04-2023 00:00
70,68,1,1,129.86,0.0036,-12.59,-16.35,,01-04-2023 00:00
71,69,1,1,0.02,0,0,-0.02,0.01,01-04-2023 00:00
72,70,1,1,30.29,0.0008,-15.58,-4.72,-169.9,01-04-2023 00:00
73,71,1,1,48.62,0.0013,-21.68,-10.54,-119.93,01-04-2023 00:00
74,72,1,1,0.58,0,-15.04,-0.09,0.56,01-04-2023 00:00
75,73,1,1,13.18,0.0004,-57.21,-7.54,-28.07,01-04-2023 00:00
76,74,1,1,0.02,0,0,-0.02,,01-04-2023 00:00
77,75,1,1,0,0,-44.52,0,,01-04-2023 00:00
78,76,1,1,0.01,0,2197.31,0.17,,01-04-2023 00:00
79,77,1,1,0.49,0,231.7,1.14,0.49,01-04-2023 00:00
80,78,1,1,227.75,0.0063,-1.21,-2.76,140.15,01-04-2023 00:00
81,79,1,1,0.04,0,0,-0.04,,01-04-2023 00:00
82,80,1,1,0.6,0,2843.02,17.05,-3.42,01-04-2023 00:00
83,81,1,1,11.51,0.0003,26.88,3.09,11.43,01-04-2023 00:00
84,82,1,1,50.12,0.0014,198.28,99.38,,01-04-2023 00:00
85,83,1,1,8.8,0.0002,129.14,11.35,8.39,01-04-2023 00:00
86,84,1,1,31.27,0.0009,-9.74,-3.05,26.27,01-04-2023 00:00
87,85,1,1,17.57,0.0005,-16.38,-2.88,17.54,01-04-2023 00:00
88,86,1,1,76.52,0.0021,-49.16,-37.61,76.03,01-04-2023 00:00
89,87,1,1,0.01,0,0,-0.01,,01-04-2023 00:00
90,88,1,1,100.25,0.0028,-18.92,-18.97,,01-04-2023 00:00
91,89,1,1,9.71,0.0003,114.79,11.14,-1.88,01-04-2023 00:00
92,90,1,1,0.44,0,0,-0.44,,01-04-2023 00:00
93,91,1,1,226.7,0.0063,-8.82,-20,222.68,01-04-2023 00:00
94,92,1,1,427.29,0.0118,-28.31,-120.98,424.09,01-04-2023 00:00
95,93,1,1,0,0,0,0.02,-0.27,01-04-2023 00:00
96,94,1,1,0,0,0,0,,01-04-2023 00:00
97,95,1,1,40.5,0.0011,-44.97,-18.21,39.76,01-04-2023 00:00
98,96,1,1,15.36,0.0004,-1.12,-0.17,14.05,01-04-2023 00:00
99,97,1,1,23.36,0.0006,-44.83,-10.47,23.25,01-04-2023 00:00
100,98,1,1,36.58,0.001,-40.1,-14.67,,01-04-2023 00:00
101,99,1,1,0.21,0,-75.49,-0.16,,01-04-2023 00:00
102,100,1,1,46.52,0.0013,-41.76,-19.43,46.43,01-04-2023 00:00
103,101,1,1,1172.35,0.0324,12.87,150.84,1171.8,01-04-2023 00:00
104,5348,1,1,1172.35,0.0324,12.87,150.84,1171.8,01-04-2023 00:00
105,102,1,1,0.18,0,0,-0.18,-0.12,01-04-2023 00:00
106,103,1,1,0,0,0,0.08,,01-04-2023 00:00
107,104,1,1,0.03,0,0,-0.03,,01-04-2023 00:00
108,105,1,1,60.65,0.0017,-37.66,-22.84,49.3,01-04-2023 00:00
109,5350,1,1,60.65,0.0017,-37.66,-22.84,49.3,01-04-2023 00:00
110,106,1,1,0.04,0,-19.69,-0.01,-0.84,01-04-2023 00:00
111,107,1,1,8.23,0.0002,12.28,1.01,,01-04-2023 00:00
112,108,1,1,0.03,0,-93.2,-0.03,-0.2,01-04-2023 00:00
113,109,1,1,3002.03,0.083,-10.28,-308.72,2795.96,01-04-2023 00:00
114,110,1,1,4.6,0.0001,73.7,3.4,4.42,01-04-2023 00:00
115,111,1,1,4.31,0.0001,-37.03,-1.59,,01-04-2023 00:00
116,112,1,1,0.01,0,7822.87,0.68,,01-04-2023 00:00
117,113,1,1,0.09,0,15.54,0.01,,01-04-2023 00:00
118,114,1,1,3.91,0.0001,-30.89,-1.21,3.89,01-04-2023 00:00
119,115,1,1,0.14,0,-66.52,-0.09,-1.78,01-04-2023 00:00
120,5353,1,1,0.14,0,-66.52,-0.09,-1.78,01-04-2023 00:00
121,116,1,1,0,0,0,0,,01-04-2023 00:00
122,117,1,1,8.17,0.0002,-28.4,-2.32,,01-04-2023 00:00
123,118,1,1,8.82,0.0002,-17.38,-1.53,7.59,01-04-2023 00:00
124,119,1,1,0,0,926.53,0.01,,01-04-2023 00:00
125,120,1,1,0.46,0,613.6,2.81,,01-04-2023 00:00
126,121,1,1,1.42,0,357.98,5.06,1.42,01-04-2023 00:00
127,122,1,1,0.42,0,188.66,0.79,0.42,01-04-2023 00:00
128,123,1,1,0,0,4261.69,0,-123.9,01-04-2023 00:00
129,5356,1,1,0,0,4261.69,0,-123.9,01-04-2023 00:00
130,124,1,1,0.02,0,0,-0.02,0.02,01-04-2023 00:00
131,125,1,1,0.03,0,94.31,0.04,,01-04-2023 00:00
132,126,1,1,0.01,0,0,-0.01,-0.32,01-04-2023 00:00
133,127,1,1,0.02,0,2508.7,0.41,-1.06,01-04-2023 00:00
134,5358,1,1,0.02,0,2508.7,0.41,-1.06,01-04-2023 00:00
135,128,1,1,0.01,0,0,-0.01,-23.21,01-04-2023 00:00
136,129,1,1,2.43,0.0001,70.68,1.71,,01-04-2023 00:00
137,130,1,1,17.65,0.0005,1.85,0.32,13.8,01-04-2023 00:00
138,5360,1,1,17.65,0.0005,1.85,0.32,13.8,01-04-2023 00:00
139,131,1,1,192.17,0.0053,-6.24,-11.99,189.16,01-04-2023 00:00
140,132,1,1,0,0,0,1,,01-04-2023 00:00
141,133,1,1,0,0,0,0.04,-5.9,01-04-2023 00:00
142,5361,1,1,0,0,0,0.04,-5.9,01-04-2023 00:00
143,134,1,1,1830.96,0.0506,-0.39,-7.1,1790.64,01-04-2023 00:00
144,135,1,1,0.21,0,-81.56,-0.17,,01-04-2023 00:00
145,136,1,1,0.32,0,34.6,0.11,,01-04-2023 00:00
146,137,1,1,0,0,0,0.01,-13.05,01-04-2023 00:00
147,5363,1,1,0,0,0,0.01,-13.05,01-04-2023 00:00
148,138,1,1,0.41,0,149.34,0.61,,01-04-2023 00:00
149,139,1,1,0,0,0,0.13,,01-04-2023 00:00
150,140,1,1,0.06,0,0,-0.06,,01-04-2023 00:00
151,141,1,1,0,0,0,0.06,,01-04-2023 00:00
152,142,1,1,162.62,0.0045,9.17,14.91,118.85,01-04-2023 00:00
153,143,1,1,0.08,0,0,-0.08,,01-04-2023 00:00
154,144,1,1,0.01,0,2245.23,0.28,0.01,01-04-2023 00:00
155,145,1,1,1.84,0.0001,42.43,0.78,,01-04-2023 00:00
156,146,1,1,0,0,0,0.92,,01-04-2023 00:00
157,147,1,1,177.5,0.0049,-2.37,-4.21,,01-04-2023 00:00
158,148,1,1,0.25,0,-94.32,-0.24,0.02,01-04-2023 00:00
159,5364,1,1,0.25,0,-94.32,-0.24,0.02,01-04-2023 00:00
160,149,1,1,248.74,0.0069,-3.09,-7.68,247.99,01-04-2023 00:00
161,5365,1,1,248.74,0.0069,-3.09,-7.68,247.99,01-04-2023 00:00
162,150,1,1,6.26,0.0002,-35.9,-2.25,5.6,01-04-2023 00:00
163,151,1,1,13.71,0.0004,0.06,0,-2.45,01-04-2023 00:00
164,152,1,1,18.48,0.0005,13.63,2.51,18.48,01-04-2023 00:00
165,153,1,1,0.05,0,2882.91,1.3,-0.54,01-04-2023 00:00
166,154,1,1,35309.98,0.9757,7.89,2785.94,35068.23,01-04-2023 00:00
167,155,1,1,122.53,0.0034,-42.78,-52.42,119.73,01-04-2023 00:00
168,156,1,1,0.03,0,-79.13,-0.02,,01-04-2023 00:00
169,157,1,1,29.18,0.0008,20.72,6.05,,01-04-2023 00:00
170,158,1,1,352.72,0.0097,17.96,63.34,351.63,01-04-2023 00:00
171,159,1,1,0.57,0,0,-0.57,,01-04-2023 00:00
172,160,1,1,1.99,0.0001,-14.81,-0.29,,01-04-2023 00:00
173,161,1,1,197.59,0.0055,44.57,88.07,65.22,01-04-2023 00:00
174,162,1,1,5.43,0.0002,-99.97,-5.43,,01-04-2023 00:00
175,163,1,1,0,0,0,0.01,,01-04-2023 00:00
176,164,1,1,0.34,0,189.79,0.66,,01-04-2023 00:00
177,165,1,1,0.47,0,-64.48,-0.3,-0.28,01-04-2023 00:00
178,166,1,1,17.46,0.0005,70.6,12.32,,01-04-2023 00:00
179,167,1,1,1.48,0,34.16,0.51,,01-04-2023 00:00
180,168,1,1,0.02,0,0,-0.02,0.01,01-04-2023 00:00
181,169,1,1,0,0,0,0.01,0,01-04-2023 00:00
182,170,1,1,0,0,0,0,,01-04-2023 00:00
183,171,1,1,0,0,0,0,-0.09,01-04-2023 00:00
184,172,1,1,0.36,0,-99.07,-0.36,-0.87,01-04-2023 00:00
185,173,1,1,0.13,0,-24.27,-0.03,,01-04-2023 00:00
186,174,1,1,85.39,0.0024,-16.91,-14.44,85.27,01-04-2023 00:00
187,175,1,1,8.47,0.0002,-22.08,-1.87,8.47,01-04-2023 00:00
188,176,1,1,5259.44,0.1453,2.27,119.32,5243.39,01-04-2023 00:00
189,177,1,1,105.74,0.0029,-12.77,-13.51,98.15,01-04-2023 00:00
190,178,1,1,0.03,0,1442.18,0.45,0.03,01-04-2023 00:00
191,179,1,1,494.19,0.0137,-13.45,-66.45,492.74,01-04-2023 00:00
192,180,1,1,25.61,0.0007,-2.04,-0.53,,01-04-2023 00:00
193,181,1,1,9.8,0.0003,31.27,3.07,,01-04-2023 00:00
194,182,1,1,0,0,0,0,,01-04-2023 00:00
195,183,1,1,0.01,0,0,-0.01,,01-04-2023 00:00
196,184,1,1,14.71,0.0004,-66.54,-9.79,14.71,01-04-2023 00:00
197,185,1,1,0,0,0,0,,01-04-2023 00:00
198,186,1,1,0.03,0,0,-0.03,,01-04-2023 00:00
199,187,1,1,9.65,0.0003,116.34,11.23,9.6,01-04-2023 00:00
200,188,1,1,6.85,0.0002,-85.58,-5.86,6.85,01-04-2023 00:00
201,189,1,1,0,0,0,0,,01-04-2023 00:00
202,190,1,1,38.11,0.0011,-52.8,-20.12,,01-04-2023 00:00
203,191,1,1,0.02,0,-96.75,-0.02,-9.3,01-04-2023 00:00
204,192,1,1,0.01,0,0,-0.01,0,01-04-2023 00:00
205,193,1,1,0.14,0,0,-0.14,0.14,01-04-2023 00:00
206,194,1,1,2.36,0.0001,93.98,2.23,,01-04-2023 00:00
207,195,1,1,91.59,0.0025,17.07,15.63,91.58,01-04-2023 00:00
208,196,1,1,2.76,0.0001,88.82,2.45,,01-04-2023 00:00
209,197,1,1,15.35,0.0004,90.99,13.97,-9.19,01-04-2023 00:00
210,5369,1,1,15.35,0.0004,90.99,13.97,-9.19,01-04-2023 00:00
211,198,1,1,114.3,0.0032,46.19,52.8,92.4,01-04-2023 00:00
212,5370,1,1,114.3,0.0032,46.19,52.8,92.4,01-04-2023 00:00
213,199,1,1,13.39,0.0004,41.78,5.59,10.1,01-04-2023 00:00
214,5371,1,1,13.39,0.0004,41.78,5.59,10.1,01-04-2023 00:00
215,200,1,1,61.48,0.0017,-18.25,-11.22,59.89,01-04-2023 00:00
216,5372,1,1,61.48,0.0017,-18.25,-11.22,59.89,01-04-2023 00:00
217,201,1,1,3.76,0.0001,11.04,0.42,,01-04-2023 00:00
218,202,1,1,3.43,0.0001,549.57,18.86,3,01-04-2023 00:00
219,203,1,1,0.06,0,-51.63,-0.03,0.06,01-04-2023 00:00
220,204,1,1,27.71,0.0008,38.07,10.55,7.01,01-04-2023 00:00
221,205,1,1,3.62,0.0001,41.83,1.51,-257.97,01-04-2023 00:00
222,206,1,1,6.97,0.0002,77.41,5.4,-4.27,01-04-2023 00:00
223,207,1,1,540.02,0.0149,188.94,1020.34,530.83,01-04-2023 00:00
224,208,1,1,0.73,0,-80.73,-0.59,0.65,01-04-2023 00:00
225,209,1,1,922.55,0.0255,80.09,738.84,917.21,01-04-2023 00:00
226,210,1,1,14.08,0.0004,377.07,53.11,-2.92,01-04-2023 00:00
227,211,1,1,3.79,0.0001,-17.88,-0.67,-0.17,01-04-2023 00:00
228,212,1,1,126.39,0.0035,26.46,33.44,107.61,01-04-2023 00:00
229,213,1,1,4.55,0.0001,-31.9,-1.45,3.43,01-04-2023 00:00
230,214,1,1,302.1,0.0083,-13.38,-40.44,226.1,01-04-2023 00:00
231,215,1,1,167.73,0.0046,30.55,51.24,167.61,01-04-2023 00:00
232,5373,1,1,167.73,0.0046,30.55,51.24,167.61,01-04-2023 00:00
233,216,1,1,0.03,0,0,-0.03,-0.02,01-04-2023 00:00
234,5374,1,1,0.03,0,0,-0.03,-0.02,01-04-2023 00:00
235,217,1,1,759.57,0.021,-24.25,-184.19,759.31,01-04-2023 00:00
236,218,1,1,0.01,0,-63.48,-0.01,,01-04-2023 00:00
237,219,1,1,7.43,0.0002,154,11.45,1.86,01-04-2023 00:00
238,220,1,1,239.68,0.0066,-2.52,-6.03,239.65,01-04-2023 00:00
239,221,1,1,39.54,0.0011,42.2,16.68,39.16,01-04-2023 00:00
240,222,1,1,207.97,0.0057,-10.46,-21.76,207.27,01-04-2023 00:00
241,223,1,1,15.78,0.0004,17.39,2.75,15.78,01-04-2023 00:00
242,224,1,1,1470.84,0.0406,18.97,278.99,1453.88,01-04-2023 00:00
243,225,1,1,4.76,0.0001,-35.26,-1.68,4.76,01-04-2023 00:00
244,226,1,1,1520.14,0.042,10.85,164.91,1520.1,01-04-2023 00:00
245,227,1,1,4.66,0.0001,69.37,3.23,-3.03,01-04-2023 00:00
246,228,1,1,0.78,0,-32.32,-0.25,-0.5,01-04-2023 00:00
247,229,1,1,399.21,0.011,26.63,106.32,396.84,01-04-2023 00:00
248,5375,1,1,399.21,0.011,26.63,106.32,396.84,01-04-2023 00:00
249,230,1,1,0.38,0,-51.46,-0.2,-4.94,01-04-2023 00:00
250,231,1,1,0.19,0,-32.8,-0.06,-0.12,01-04-2023 00:00
251,232,1,1,108.31,0.003,-7.95,-8.62,94.82,01-04-2023 00:00
252,233,1,1,18.2,0.0005,-93.44,-17.01,12.03,01-04-2023 00:00
253,234,1,1,76.96,0.0021,-24.1,-18.55,74.34,01-04-2023 00:00
254,235,1,1,41.54,0.0011,-17.69,-7.35,-8.52,01-04-2023 00:00
255,5376,1,1,41.54,0.0011,-17.69,-7.35,-8.52,01-04-2023 00:00
256,236,1,1,37.68,0.001,17.91,6.75,-70.22,01-04-2023 00:00
257,5377,1,1,37.68,0.001,17.91,6.75,-70.22,01-04-2023 00:00
258,237,1,1,0.17,0,143.23,0.24,-16.17,01-04-2023 00:00
259,238,1,1,16.53,0.0005,-22.23,-3.67,-128.9,01-04-2023 00:00
260,5378,1,1,16.53,0.0005,-22.23,-3.67,-128.9,01-04-2023 00:00
261,239,1,1,2.49,0.0001,64.36,1.61,2.22,01-04-2023 00:00
262,240,1,1,4.56,0.0001,-99.83,-4.55,-10.81,01-04-2023 00:00
263,5379,1,1,4.56,0.0001,-99.83,-4.55,-10.81,01-04-2023 00:00
264,241,1,1,2.67,0.0001,72.2,1.93,-28.82,01-04-2023 00:00
265,5380,1,1,2.67,0.0001,72.2,1.93,-28.82,01-04-2023 00:00
266,242,1,1,0.05,0,0,-0.05,-2.25,01-04-2023 00:00
267,243,1,1,7.18,0.0002,18.52,1.32,-59.11,01-04-2023 00:00
268,244,1,1,0.04,0,-64.46,-0.03,,01-04-2023 00:00
269,245,1,1,3.42,0.0001,36.17,1.23,3.4,01-04-2023 00:00
270,246,1,1,237.16,0.0066,7.7,18.25,87.33,01-04-2023 00:00
271,247,1,1,54.26,0.0015,-1.21,-0.66,54.26,01-04-2023 00:00
272,248,1,1,0.32,0,-26.67,-0.09,,01-04-2023 00:00
273,249,1,1,0,0,1825.6,0.02,-8.95,01-04-2023 00:00
274,250,1,1,0.97,0,-20.24,-0.2,0.97,01-04-2023 00:00
275,251,1,1,0.08,0,-25.72,-0.02,,01-04-2023 00:00
276,252,1,1,37.34,0.001,-19.25,-7.19,30.25,01-04-2023 00:00
277,253,1,1,102.97,0.0028,19.51,20.09,102.47,01-04-2023 00:00
278,5381,1,1,102.97,0.0028,19.51,20.09,102.47,01-04-2023 00:00
279,254,1,1,4.05,0.0001,46.62,1.88,3.92,01-04-2023 00:00
280,5382,1,1,4.05,0.0001,46.62,1.88,3.92,01-04-2023 00:00
281,255,1,1,262.76,0.0073,-0.24,-0.61,255.4,01-04-2023 00:00
282,5383,1,1,262.76,0.0073,-0.24,-0.61,255.4,01-04-2023 00:00
283,256,1,1,4.92,0.0001,60.69,2.99,4.92,01-04-2023 00:00
284,257,1,1,832.61,0.023,20.96,174.53,828.46,01-04-2023 00:00
285,258,1,1,207.74,0.0057,-1.9,-3.96,207.62,01-04-2023 00:00
286,259,1,1,4138.33,0.1144,-4.41,-182.3,4050.75,01-04-2023 00:00
287,260,1,1,209.99,0.0058,-50.67,-106.4,-50.1,01-04-2023 00:00
288,261,1,1,0.1,0,234.71,0.25,,01-04-2023 00:00
289,262,1,1,2.53,0.0001,37.75,0.95,,01-04-2023 00:00
290,263,1,1,0.07,0,-54.87,-0.04,,01-04-2023 00:00
291,264,1,1,13.71,0.0004,35.37,4.85,3.18,01-04-2023 00:00
292,265,1,1,1.56,0,-47.49,-0.74,,01-04-2023 00:00
293,266,1,1,0.08,0,47.44,0.04,-0.21,01-04-2023 00:00
294,267,1,1,0,0,0,0,,01-04-2023 00:00
295,268,1,1,6.31,0.0002,14.07,0.88,6.03,01-04-2023 00:00
296,269,1,1,6.65,0.0002,39.23,2.6,6.59,01-04-2023 00:00
297,270,1,1,8.84,0.0002,9.55,0.84,,01-04-2023 00:00
298,271,1,1,12.19,0.0003,24.08,2.94,12.18,01-04-2023 00:00
299,272,1,1,2.19,0.0001,48.91,1.07,2.19,01-04-2023 00:00
300,273,1,1,5.93,0.0002,31.15,1.85,5.93,01-04-2023 00:00
301,274,1,1,0.01,0,13.14,0.01,-5.78,01-04-2023 00:00
302,275,1,1,3.44,0.0001,42.19,1.45,,01-04-2023 00:00
303,276,1,1,0,0,-25.49,0,-0.01,01-04-2023 00:00
304,277,1,1,2.14,0.0001,-49.96,-1.07,,01-04-2023 00:00
305,278,1,1,0,0,0,0,,01-04-2023 00:00
306,279,1,1,0,0,0,0,,01-04-2023 00:00
307,280,1,1,0,0,0,0.01,,01-04-2023 00:00
308,281,1,1,3.37,0.0001,39.8,1.34,2.41,01-04-2023 00:00
309,282,1,1,469.94,0.013,20.42,95.95,,01-04-2023 00:00
310,283,1,1,0.69,0,-54.44,-0.38,,01-04-2023 00:00
311,284,1,1,0,0,0,0,,01-04-2023 00:00
312,285,1,1,0.03,0,69.53,0.01,0.01,01-04-2023 00:00
313,286,1,1,104.97,0.0029,6.95,7.29,104.97,01-04-2023 00:00
314,287,1,1,732.88,0.0203,4.45,32.63,729.5,01-04-2023 00:00
315,288,1,1,43.85,0.0012,8.99,3.94,,01-04-2023 00:00
316,289,1,1,158.45,0.0044,-14.25,-22.59,158.45,01-04-2023 00:00
317,290,1,1,21.66,0.0006,8.13,1.76,,01-04-2023 00:00
318,291,1,1,29.49,0.0008,5.47,1.61,24.57,01-04-2023 00:00
319,292,1,1,2.96,0.0001,-1.06,-0.03,2.8,01-04-2023 00:00
320,293,1,1,232.14,0.0064,18.31,42.51,231.98,01-04-2023 00:00
321,294,1,1,219.15,0.0061,8.87,19.44,215.74,01-04-2023 00:00
322,295,1,1,65.79,0.0018,-16.93,-11.14,,01-04-2023 00:00
323,296,1,1,0.04,0,-40.69,-0.02,-2.96,01-04-2023 00:00
324,297,1,1,754.42,0.0208,21.29,160.65,754.35,01-04-2023 00:00
325,298,1,1,0.07,0,160.59,0.12,-0.11,01-04-2023 00:00
326,299,1,1,4.47,0.0001,-10.07,-0.45,-3.7,01-04-2023 00:00
327,300,1,1,122.58,0.0034,15.73,19.28,106.84,01-04-2023 00:00
328,301,1,1,1480.03,0.0409,29.31,433.79,1462.34,01-04-2023 00:00
329,302,1,1,16.37,0.0005,11.6,1.9,,01-04-2023 00:00
330,303,1,1,0.02,0,0,-0.02,0.02,01-04-2023 00:00
331,304,1,1,16.29,0.0005,-55.43,-9.03,15.58,01-04-2023 00:00
332,305,1,1,357.28,0.0099,66.3,236.89,312.44,01-04-2023 00:00
333,306,1,1,89.83,0.0025,112.82,101.34,-4721.34,01-04-2023 00:00
334,307,1,1,1836.67,0.0508,50.99,936.53,63.22,01-04-2023 00:00
335,308,1,1,722.47,0.02,26.94,194.61,-4797.85,01-04-2023 00:00
336,5385,1,1,722.47,0.02,26.94,194.61,-4797.85,01-04-2023 00:00
337,309,1,1,9.25,0.0003,27.7,2.56,8.31,01-04-2023 00:00
338,310,1,1,175.05,0.0048,6.02,10.53,-1102.97,01-04-2023 00:00
339,311,1,1,0.26,0,-84.24,-0.22,0.26,01-04-2023 00:00
340,312,1,1,69.58,0.0019,108.46,75.47,-165.84,01-04-2023 00:00
341,313,1,1,378.36,0.0105,54.22,205.16,39.44,01-04-2023 00:00
342,314,1,1,1346.1,0.0372,-20.39,-274.44,-9311.64,01-04-2023 00:00
343,315,1,1,15.22,0.0004,26.43,4.03,-54.6,01-04-2023 00:00
344,316,1,1,473.24,0.0131,6.08,28.77,-6121.78,01-04-2023 00:00
345,317,1,1,573.38,0.0158,46.87,268.76,547.15,01-04-2023 00:00
346,318,1,1,32.95,0.0009,18.02,5.94,32.95,01-04-2023 00:00
347,319,1,1,4.39,0.0001,11.89,0.52,,01-04-2023 00:00
348,320,1,1,34.79,0.001,11.83,4.12,34.79,01-04-2023 00:00
349,321,1,1,2.75,0.0001,173.68,4.77,2.75,01-04-2023 00:00
350,322,1,1,0.01,0,-3.41,0,,01-04-2023 00:00
351,323,1,1,6.13,0.0002,-10.71,-0.66,,01-04-2023 00:00
352,324,1,1,36.05,0.001,353.39,127.39,-88.56,01-04-2023 00:00
353,325,1,1,179.01,0.0049,65.49,117.24,178.99,01-04-2023 00:00
354,326,1,1,528.33,0.0146,-36.08,-190.65,528.25,01-04-2023 00:00
355,327,1,1,0.18,0,-18.73,-0.03,0.18,01-04-2023 00:00
356,328,1,1,0.04,0,204.92,0.08,-0.05,01-04-2023 00:00
357,329,1,1,178.39,0.0049,110.95,197.92,-11454.24,01-04-2023 00:00
358,330,1,1,2630.41,0.0727,-5.42,-142.69,2434.89,01-04-2023 00:00
359,331,1,1,8.47,0.0002,-36.67,-3.1,-7787.7,01-04-2023 00:00
360,332,1,1,9.28,0.0003,70.26,6.52,-724.4,01-04-2023 00:00
361,333,1,1,0.32,0,-34.73,-0.11,,01-04-2023 00:00
362,334,1,1,0.15,0,-42.08,-0.06,-17.04,01-04-2023 00:00
