HSCode,Commodity,HS2,Product_ID,Industry_Category,Product_Type,Created_At
30235,ALTANTIC AND PACIFIC BULEFIN TUNAS FRESH OR CHILLED,3,58,Animal & Animal Products,Primary Products,2023-01-01 09:04:45
30239,OTHER TUNAS FRESH OR CHILLED,3,59,Animal & Animal Products,Primary Products,2023-01-01 09:04:50
30241,HERRINGS FRESH OR CHILLED,3,60,Animal & Animal Products,Primary Products,2023-01-01 09:04:55
30242,ANCHOVIES FRESH OR CHILLED,3,61,Animal & Animal Products,Primary Products,2023-01-01 09:05:00
30243,SARDINES FRESH OR CHILLED,3,62,Animal & Animal Products,Primary Products,2023-01-01 09:05:05
30244,MACKEREL FRESH OR CHILLED,3,63,Animal & Animal Products,Primary Products,2023-01-01 09:05:10
30246,COBIA FRESH OF CHILLED,3,64,Animal & Animal Products,Primary Products,2023-01-01 09:05:15
30247,SWORD FISH FRESH OR CHILLED,3,65,Animal & Animal Products,Primary Products,2023-01-01 09:05:20
30249,"OTHER FISH INCL INDIAN MACKERELS, CREVALLES, SILVER POMFRETS, SCADS, CAPELIN, KAWAKAWA FRESH OR CHILLED",3,66,Animal & Animal Products,Primary Products,2023-01-01 09:05:25
30251,COD FRESH OR CHILLED,3,67,Animal & Animal Products,Primary Products,2023-01-01 09:05:30
30259,"OTHER FISH OF FAMILIES BREGMACEROTIDAE, EUCLICHTHYIDAE, GADIDAE ETC FRESH OR CHILLED",3,68,Animal & Animal Products,Primary Products,2023-01-01 09:05:35
30271,TILAPIAS FRESH OR CHILLED,3,69,Animal & Animal Products,Primary Products,2023-01-01 09:05:40
30272,CATFISH FRESH OR CHILLED,3,70,Animal & Animal Products,Primary Products,2023-01-01 09:05:45
30273,CARP FRESH OR CHILLED,3,71,Animal & Animal Products,Primary Products,2023-01-01 09:05:50
30274,EELS FRESH OR CHILLED,3,72,Animal & Animal Products,Primary Products,2023-01-01 09:05:55
30279,OTHER FISH INCL NILE PERCH AND SNAKEHEADS FRESH OR CHILLED,3,73,Animal & Animal Products,Primary Products,2023-01-01 09:06:00
30281,DOGFISH AND OTHER SHARKS FRESH OR CHILLED,3,74,Animal & Animal Products,Primary Products,2023-01-01 09:06:05
30282,RAYES AND SKATES FRESH OR CHILLED,3,75,Animal & Animal Products,Primary Products,2023-01-01 09:06:10
30284,SEABASS FRESH OR CHILLED,3,76,Animal & Animal Products,Primary Products,2023-01-01 09:06:15
30285,SABREAM FRSH OR CHILLED,3,77,Animal & Animal Products,Primary Products,2023-01-01 09:06:20
30289,OTHER:,3,78,Animal & Animal Products,Primary Products,2023-01-01 09:06:25
30299,OTHER FISH FINS OTH THN SHARK FINS TAILS MAWS AND OTH EDIBLE FISH OFFAL FRESEH OR CHILLED,3,79,Animal & Animal Products,Primary Products,2023-01-01 09:06:30
30312,OTHER PACIFIC SALMON FROZEN,3,80,Animal & Animal Products,Primary Products,2023-01-01 09:06:35
30319,OTHER SALMONIDE FROZEN EXCL OF HEADING 030391 TO 030399,3,81,Animal & Animal Products,Primary Products,2023-01-01 09:06:40
30323,TILAPIAS FROZEN,3,82,Animal & Animal Products,Primary Products,2023-01-01 09:06:45
30324,CATFISH FROZEN,3,83,Animal & Animal Products,Primary Products,2023-01-01 09:06:50
30325,CARP FROZEN,3,84,Animal & Animal Products,Primary Products,2023-01-01 09:06:55
30326,EELS FROZEN,3,85,Animal & Animal Products,Primary Products,2023-01-01 09:07:00
30329,OTHER FISH INCL NILE PERCH AND SNAKEHEADS FROZEN,3,86,Animal & Animal Products,Primary Products,2023-01-01 09:07:05
30331,HALIBUT FROZEN,3,87,Animal & Animal Products,Primary Products,2023-01-01 09:07:10
30333,SOLE FROZEN,3,88,Animal & Animal Products,Primary Products,2023-01-01 09:07:15
30339,OTHER FLAT FROZEN EXCL OF HEADING 030391 TO 030399,3,89,Animal & Animal Products,Primary Products,2023-01-01 09:07:20
30341,ALBACORE FROZEN,3,90,Animal & Animal Products,Primary Products,2023-01-01 09:07:25
30342,YELLOWFIN TUNAS FROZEN,3,91,Animal & Animal Products,Primary Products,2023-01-01 09:07:30
30343,"SKIPJACK TUNA( STRIPE-BELLIED BONITO), (KATSUWONUSPELAMIS)",3,92,Animal & Animal Products,Primary Products,2023-01-01 09:07:35
30345,ATLANTIC AND PACIFIC BLUEFIN TUNAS FROZEN,3,93,Animal & Animal Products,Primary Products,2023-01-01 09:07:40
30346,SOUTHERN BLUEFIN TUNAS FROZEN,3,94,Animal & Animal Products,Primary Products,2023-01-01 09:07:45
30349,OTHER TUNAS FROZEN EXCL OF HEADING 030391 TO 030399,3,95,Animal & Animal Products,Primary Products,2023-01-01 09:07:50
30353,"SARDINES, SARDINELLA, BRISLING OR SPRATS FROZEN",3,96,Animal & Animal Products,Primary Products,2023-01-01 09:07:55
30354,MACKEREL FROZEN,3,97,Animal & Animal Products,Primary Products,2023-01-01 09:08:00
30355,JACK AND HORSE MACKEREL  FROZEN,3,98,Animal & Animal Products,Primary Products,2023-01-01 09:08:05
30356,COBIA FROZEN,3,99,Animal & Animal Products,Primary Products,2023-01-01 09:08:10
30357,SWORD FISH FROZEN,3,100,Animal & Animal Products,Primary Products,2023-01-01 09:08:15
30359,"OTHER FISH INCL INDIAN MACKERELS, CREVALLES, SILVER POMFRETS, SCADS, CAPELIN, KAWAKAWA FROZEN",3,101,Animal & Animal Products,Primary Products,2023-01-01 09:08:20
30363,COD FROZEN,3,102,Animal & Animal Products,Primary Products,2023-01-01 09:08:25
30365,COAL FISH FROZEN,3,103,Animal & Animal Products,Primary Products,2023-01-01 09:08:30
30366,HAKE FROZEN,3,104,Animal & Animal Products,Primary Products,2023-01-01 09:08:35
30369,"OTHER FISH OF FAMILIES BREGMACEROTIDAE, EUCLICHTHYIDAE, GADIDAE ETC FROZEN",3,105,Animal & Animal Products,Primary Products,2023-01-01 09:08:40
30381,DOGFISH AND OTHER SHARKS FROZEN,3,106,Animal & Animal Products,Primary Products,2023-01-01 09:08:45
30382,RAYS AND SKATES (RAJIDAE) FROZEN,3,107,Animal & Animal Products,Primary Products,2023-01-01 09:08:50
30384,SEABASS (DICENTRARCHUS SPP.) FROZEN,3,108,Animal & Animal Products,Primary Products,2023-01-01 09:08:55
30389,OTHER:,3,109,Animal & Animal Products,Primary Products,2023-01-01 09:09:00
30391,"LIVERS, ROES AND MILT: FROZEN",3,110,Animal & Animal Products,Primary Products,2023-01-01 09:09:05
30399,OTHER FISH FINS OTH THN SHARK FINS TAILS MAWS AND OTH EDIBLE FISH OFFAL FROZEN,3,111,Animal & Animal Products,Primary Products,2023-01-01 09:09:10
30431,FISH AND CHLD FILLETS OF TILAPIAS (OREOCHROMIS SPP.),3,112,Animal & Animal Products,Primary Products,2023-01-01 09:09:15
30432,"FRSH OR CHLD FILLETS CATFISH (PANGASIUS SPP., SILURUS SPP.,CLARIAS SPP.,  ICTALURUS SPP.)",3,113,Animal & Animal Products,Primary Products,2023-01-01 09:09:20
30439,"OTHER FRESH OR CHILLED FILLETS OF THE FAMILY TILAPIAS, CATFISH ETC.",3,114,Animal & Animal Products,Primary Products,2023-01-01 09:09:25
30441,"FRSH OR CHLD FILLETS OF PACIFIC SALMON , ATLANTIC SALMON (SALMO SALAR) AND  DANUBE SALMON",3,115,Animal & Animal Products,Primary Products,2023-01-01 09:09:30
30443,"FRSH OR CHLD FILLETS OF FLAT FISH (PLEURONECTIDAE, BOTHIDAE,  CYNOGLOSSIDAE,   SOLEIDAE, SCOPHTHALMIDAE   AND CITHARIDAE",3,116,Animal & Animal Products,Primary Products,2023-01-01 09:09:35
30445,FRSH OR CHLD FILLETS OF SWORDFISH (XIPHIAS GLADIUS),3,117,Animal & Animal Products,Primary Products,2023-01-01 09:09:40
30449,OTHER:,3,118,Animal & Animal Products,Primary Products,2023-01-01 09:09:45
30451,"FRSH OR CHLD FILLETS OF TILAPIAS ,CATFISH,CARP, EELS , NILE PERCH AND SNAKEHEADS",3,119,Animal & Animal Products,Primary Products,2023-01-01 09:09:50
30454,FRSH OR CHLD FILLETS OF SWORD FISH,3,120,Animal & Animal Products,Primary Products,2023-01-01 09:09:55
30459,OTHER:,3,121,Animal & Animal Products,Primary Products,2023-01-01 09:10:00
30461,FROZEN FILLETS OF TILAPIAS (OREOCHROMIS SPP.),3,122,Animal & Animal Products,Primary Products,2023-01-01 09:10:05
30462,"FROZEN FILLETS OF CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",3,123,Animal & Animal Products,Primary Products,2023-01-01 09:10:10
30463,FROZEN FILLETS OF NILE PERCH (LATES NILOTICUS),3,124,Animal & Animal Products,Primary Products,2023-01-01 09:10:15
30469,"FROZEN FILLETS OF CARP, EELS, SNAKEHEADS",3,125,Animal & Animal Products,Primary Products,2023-01-01 09:10:20
30471,FROZEN FILLETS OF COD,3,126,Animal & Animal Products,Primary Products,2023-01-01 09:10:25
30479,"OTHER FROZEN FILLETS OF FISH OF BREGMACEROTIDAE, EUCLICHTHYIDAE,GADIDAE ETC",3,127,Animal & Animal Products,Primary Products,2023-01-01 09:10:30
30481,FROZEN FILLETS OF PACIFIC SALMON,3,128,Animal & Animal Products,Primary Products,2023-01-01 09:10:35
30484,FROZEN FILLETS OF SWORD FISH,3,129,Animal & Animal Products,Primary Products,2023-01-01 09:10:40
30487,FROZEN FILLETS OF TUNAS(OF THE GENUS THUNNUS)SKIPJACK TUNA(STRIPE BELLIED BONITO)(KATSUWONUSPELAMIS),3,130,Animal & Animal Products,Primary Products,2023-01-01 09:10:45
30489,OTHER:,3,131,Animal & Animal Products,Primary Products,2023-01-01 09:10:50
30491,FROZEN FILLETS OF SWORD FISH (XIPHIAS GLADIUS),3,132,Animal & Animal Products,Primary Products,2023-01-01 09:10:55
30493,"FROZEN FILLETS OF TILAPIAS,CATFISH, CARP, EELS , NILE PERCH AND SNAKEHEADS",3,133,Animal & Animal Products,Primary Products,2023-01-01 09:11:00
30499,OTHER,3,134,Animal & Animal Products,Primary Products,2023-01-01 09:11:05
30520,"FISH LIVR, ROES AND MILT OF FISH DRIED SMOKD SLTD/IN BRINE",3,135,Animal & Animal Products,Primary Products,2023-01-01 09:11:10
30539,"OTHER FISH DRIED, SALTED OR IN BRINE, SMOKED",3,136,Animal & Animal Products,Primary Products,2023-01-01 09:11:15
30541,"PACFC SLMN (ONCRHNCHS NRKA, GRBSCHA ETC)  ATLNTC SLMN (SLMO SLR) DNUB SLMN (HCO HCO)",3,137,Animal & Animal Products,Primary Products,2023-01-01 09:11:20
30549,OTHER SMOKED FISH INCLUDING FILLETS,3,138,Animal & Animal Products,Primary Products,2023-01-01 09:11:25
30551,COD DRIED NT SMOKED W/N SALTED,3,139,Animal & Animal Products,Primary Products,2023-01-01 09:11:30
30552,"DRIED NT SMOKED W/N SALTED TILAPIAS, CATFISH , EELS , NILE PERCH AND SNAKEHEADS",3,140,Animal & Animal Products,Primary Products,2023-01-01 09:11:35
30554,"DRIED NT SMOKED W/N SALTED HERRINGS,ANCHOVIES ,SARDINES,SARDINELLA,BRISLING, MACKEREL ,SEERFISHES ,JACKS,CREVALLES,COBIA ETC",3,141,Animal & Animal Products,Primary Products,2023-01-01 09:11:40
30559,OTHER DRIED FISH W/N SALTED NT SMOKED,3,142,Animal & Animal Products,Primary Products,2023-01-01 09:11:45
30562,COD SLTD OR IN BRINE BUT NT DRID/SMOKD,3,143,Animal & Animal Products,Primary Products,2023-01-01 09:11:50
30563,ANCHOVIES SLTED OR IN BRINE BUT NT DRD/SMKD,3,144,Animal & Animal Products,Primary Products,2023-01-01 09:11:55
30569,"OTHR FISH SLTD/IN BRINE,NOT DRIED,NT SMKD",3,145,Animal & Animal Products,Primary Products,2023-01-01 09:12:00
30571,"SALTED, NOT DRIED OR SMOKED AND  IN BRINE SHARK FINS",3,146,Animal & Animal Products,Primary Products,2023-01-01 09:12:05
30572,"SALTED, NOT DRIED OR SMOKED AND  IN BRINE  FISH HEADS, TAILS AND MAWS",3,147,Animal & Animal Products,Primary Products,2023-01-01 09:12:10
30579,"OTHER FISH FINS, HEADS, TAILS, MAWS AND OFFAL SALTED, NOT DRIED OR SMOKED AND  IN BRINE",3,148,Animal & Animal Products,Primary Products,2023-01-01 09:12:15
30611,ROCK LOBSTER AND OTHER SEA CRAWFISH         (PALINURUS SP PANULIRUS SP JASUS SP)FRZN,3,149,Animal & Animal Products,Primary Products,2023-01-01 09:12:20
30612,LOBSTERS (HOMARUS SPP) FROZEN,3,150,Animal & Animal Products,Primary Products,2023-01-01 09:12:25
30614,CRABS FROZEN,3,151,Animal & Animal Products,Primary Products,2023-01-01 09:12:30
30615,NORWAY LOBSTERS (NEPHROPS NORVEGICUS) FRZN,3,152,Animal & Animal Products,Primary Products,2023-01-01 09:12:35
30616,"COLD-WATER SHRIMPS AND PRAWNS  (PANDALUS SPP., CRANGON CRANGON): FRZN",3,153,Animal & Animal Products,Primary Products,2023-01-01 09:12:40
30617,OTHER SHRIMPS AND PRAWNS : FROZEN,3,154,Animal & Animal Products,Primary Products,2023-01-01 09:12:45
30619,OTHER,3,155,Animal & Animal Products,Primary Products,2023-01-01 09:12:50
30631,LIVE FRESH OR CHILLED ROCK LOBSTER AND OTHER SEA CRAWFISH,3,156,Animal & Animal Products,Primary Products,2023-01-01 09:12:55
30632,LIVE FRESH OR CHILLED LOBSTERS,3,157,Animal & Animal Products,Primary Products,2023-01-01 09:13:00
30633,LIVE FRESH OR CHILLED CRABS,3,158,Animal & Animal Products,Primary Products,2023-01-01 09:13:05
30634,LIVE FRESH OR CHILLED NORWAY LOBSTERS,3,159,Animal & Animal Products,Primary Products,2023-01-01 09:13:10
30635,LIVE FRESH OR CHILLED COLD WATER SHRIMPS AND PRAWNS,3,160,Animal & Animal Products,Primary Products,2023-01-01 09:13:15
30636,LIVE FRESH OR CHILLED OTHER SHRIMPS AND PRAWNS,3,161,Animal & Animal Products,Primary Products,2023-01-01 09:13:20
30639,OTHER,3,162,Animal & Animal Products,Primary Products,2023-01-01 09:13:25
30691,ROCK LOBSTER AND OTHER SEA CRAWFISH OTHN THN LIVE FRESH OR CHILLED,3,163,Animal & Animal Products,Primary Products,2023-01-01 09:13:30
30692,LOBSTERS OTHN THN LIVE FRESH OR CHILLED,3,164,Animal & Animal Products,Primary Products,2023-01-01 09:13:35
30693,CRABS OTHN THN LIVE FRESH OR CHILLED,3,165,Animal & Animal Products,Primary Products,2023-01-01 09:13:40
30695,SHRIMPS AND PRAWNS OTHN THN LIVE FRESH OR CHILLED,3,166,Animal & Animal Products,Primary Products,2023-01-01 09:13:45
30699,OTHER,3,167,Animal & Animal Products,Primary Products,2023-01-01 09:13:50
30711,"OYSTERS LIVE, FRESH OR CHILLED",3,168,Animal & Animal Products,Primary Products,2023-01-01 09:13:55
30712,OYSTERS FROZEN,3,169,Animal & Animal Products,Primary Products,2023-01-01 09:14:00
30719,SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE,3,170,Animal & Animal Products,Primary Products,2023-01-01 09:14:05
30721,SCALOPS CHLAMYS LIVE FRSH/CHLD,3,171,Animal & Animal Products,Primary Products,2023-01-01 09:14:10
30729,SCALOPS CHLAMYS OTHR THAN LIVE FRSH/CHLLD AND FROZEN,3,172,Animal & Animal Products,Primary Products,2023-01-01 09:14:15
30731,MUSSELS (MUIILUS SPP ETC)LIVE FRSH/CHLD,3,173,Animal & Animal Products,Primary Products,2023-01-01 09:14:20
30739,MUSSELS OTHER THAN LIVE FRESH OR CHLLD,3,174,Animal & Animal Products,Primary Products,2023-01-01 09:14:25
30742,"CUTTLE FISH AND SQUID LIVE, FRESH OR CHILLED",3,175,Animal & Animal Products,Primary Products,2023-01-01 09:14:30
30743,CUTTLE FISH AND SQUID FROZEN,3,176,Animal & Animal Products,Primary Products,2023-01-01 09:14:35
30749,"OTHER CUTTLE FISH AND SQUID OTH THN LIVE, FRESH OR CHILLED AND FROZEN",3,177,Animal & Animal Products,Primary Products,2023-01-01 09:14:40
30751,OCTOPUS(OCTOPUS SPP) LIVE FRSH/CHLD,3,178,Animal & Animal Products,Primary Products,2023-01-01 09:14:45
30752,OCTOPUS FROZEN,3,179,Animal & Animal Products,Primary Products,2023-01-01 09:14:50
30759,OCTOPUS OTHER THAN LIVE FRSH/CHLLD AND FROZEN,3,180,Animal & Animal Products,Primary Products,2023-01-01 09:14:55
30760,SNAILS OTHER THAN SEA SNAILS,3,181,Animal & Animal Products,Primary Products,2023-01-01 09:15:00
30771,"CLAMS, COCKLES AND ARK SHELLS  LIVE, FRESH OR CHILLED",3,182,Animal & Animal Products,Primary Products,2023-01-01 09:15:05
30772,"CALMS, COCKLES AND ARK SHELLS FROZEN",3,183,Animal & Animal Products,Primary Products,2023-01-01 09:15:10
30784,FROZEN STROMBOID CONCHS,3,184,Animal & Animal Products,Primary Products,2023-01-01 09:15:15
30788,OTHER,3,185,Animal & Animal Products,Primary Products,2023-01-01 09:15:20
30791,OTHER MOLLUSCS LIVE FRSH OR CHLLD,3,186,Animal & Animal Products,Primary Products,2023-01-01 09:15:25
30792,"OTHER INCL FLOURS, MEALS AND PELLETS FIR FOR HUMAN CONSUMPTION FROZEN",3,187,Animal & Animal Products,Primary Products,2023-01-01 09:15:30
30799,OTHER MOLLUSCS EXCL LIVE FRSH/CHLD,3,188,Animal & Animal Products,Primary Products,2023-01-01 09:15:35
30819,OTHER SEA CUCUMBERS OTH THN LIVE FRSH/CHLLD AND FROZEN,3,189,Animal & Animal Products,Primary Products,2023-01-01 09:15:40
30830,JELLYFISH (RHOPILEMA SPP.):,3,190,Animal & Animal Products,Primary Products,2023-01-01 09:15:45
30890,"JELLYFISH NOT LIVE FRSH OR CHLD, NT DRIED,SALTED, FRZN",3,191,Animal & Animal Products,Primary Products,2023-01-01 09:15:50
30910,OF FISH,3,192,Animal & Animal Products,Primary Products,2023-01-01 09:15:55
30990,OTHER,3,193,Animal & Animal Products,Primary Products,2023-01-01 09:16:00
40110,MLK AND CRM ETC CONTNG FAT NOT EXCDNG 1%,4,194,Animal & Animal Products,Primary Products,2023-01-01 09:16:05
40120,MLK AND CRM CONTNG FAT>1% BUT<=6% BY WT,4,195,Animal & Animal Products,Primary Products,2023-01-01 09:16:10
40140,"MILK AND CREAM, NT CONCENTRATED NOR CONTAIN ADDED SUGAR/ SWEETENING MATTER OF A FAT CONTENT, BY WEIGHT, > 6% BUT <= 10%",4,196,Animal & Animal Products,Primary Products,2023-01-01 09:16:15
40150,"MILK AND CREAM, NT CONCENTRATED NOR CONTAIN ADDED SUGAR/ OTHER SWEETENING MATTER OF A FAT CONTENT, BY WEIGHT, > 10%",4,197,Animal & Animal Products,Primary Products,2023-01-01 09:16:20
40210,"MILK AND CREAM IN PWDR,GRNLS OR OTHR SOLID  FORMS CONTNG FAT NOT EXCEEDING 1.5% BY WT",4,198,Animal & Animal Products,Primary Products,2023-01-01 09:16:25
40221,"MLK AND CRM IN PWDR,GRNLS/OTHR SOLID FORMS  NOT CONTNG ADDED SUGAR/OTHR SWETNG MATTER CONTNG FAT EXCEEDNG 1.5% BY WT",4,199,Animal & Animal Products,Primary Products,2023-01-01 09:16:30
40229,MLK AND CRM IN PWDR GTNLS/OTHR SOLID FORMS  CONTNG ADDED SUGAR OR OTHR SWENG MATTER   CONTNG FAT EXCEEDNG 1.5% BY WT,4,200,Animal & Animal Products,Primary Products,2023-01-01 09:16:35
40291,OTHR MILK OR CRM NOT CONTNG SWETNG MATTER,4,201,Animal & Animal Products,Primary Products,2023-01-01 09:16:40
40299,OTHR MILK OR CREAM CONTNG SWETNG MATTER,4,202,Animal & Animal Products,Primary Products,2023-01-01 09:16:45
40320,YOGURT,4,203,Animal & Animal Products,Primary Products,2023-01-01 09:16:50
40390,"OTHER (BUTTR/CRDLD MLK,CRM,KPHIR ETC)",4,204,Animal & Animal Products,Primary Products,2023-01-01 09:16:55
40410,WHEY,4,205,Animal & Animal Products,Primary Products,2023-01-01 09:17:00
40490,PRODCTS OTHRTHAN WHEY CONSISTING          OF NATURAL MILK CONSTITNTS,4,206,Animal & Animal Products,Primary Products,2023-01-01 09:17:05
40510,BUTTER,4,207,Animal & Animal Products,Primary Products,2023-01-01 09:17:10
40520,DAIRY SPREADS,4,208,Animal & Animal Products,Primary Products,2023-01-01 09:17:15
40590,OTHER :,4,209,Animal & Animal Products,Primary Products,2023-01-01 09:17:20
40610,FRSH CHESE(INCL WHEY CHSE)NT FRMNTD AND CURD,4,210,Animal & Animal Products,Primary Products,2023-01-01 09:17:25
40620,GRATED OR POWDERED CHEESE OF ALL KINDS,4,211,Animal & Animal Products,Primary Products,2023-01-01 09:17:30
40630,PROCESSED CHEESE NOT GRATED/POWDERED,4,212,Animal & Animal Products,Primary Products,2023-01-01 09:17:35
